时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-9 17:37:15:154	HC-06(556C659059FE)	0.022	-0.001	0.992	0.000	-0.244	-17.822	0.41	-0.26	1.52	33.7	18258	30
2024-10-9 17:37:15:155	HC-06(556C659059FE)	-0.010	0.011	1.006	0.122	-0.061	-16.541	0.41	-0.26	1.35	33.7	18258	30
2024-10-9 17:37:15:155	HC-06(556C659059FE)	0.001	-0.001	0.988	-0.244	-0.061	-16.602	0.41	-0.26	1.19	33.8	18258	30
2024-10-9 17:37:15:156	HC-06(556C659059FE)	0.000	0.009	0.999	0.427	-0.061	-16.968	0.41	-0.26	1.02	33.6	18258	30
2024-10-9 17:37:15:184	HC-06(556C659059FE)	0.018	0.003	0.998	0.122	-0.183	-16.907	0.41	-0.26	0.85	33.6	18258	30
2024-10-9 17:37:15:184	HC-06(556C659059FE)	-0.010	0.010	1.007	0.366	-0.061	-15.930	0.41	-0.26	0.69	33.7	18258	30
2024-10-9 17:37:15:185	HC-06(556C659059FE)	0.000	0.002	0.990	-0.427	-0.061	-15.930	0.41	-0.26	0.53	33.6	18258	30
2024-10-9 17:37:15:215	HC-06(556C659059FE)	0.024	0.008	0.998	0.549	-0.244	-16.357	0.41	-0.26	0.37	33.7	18258	30
2024-10-9 17:37:15:215	HC-06(556C659059FE)	-0.008	-0.004	0.995	-0.671	0.000	-16.357	0.41	-0.26	0.20	33.7	18258	30
2024-10-9 17:37:15:215	HC-06(556C659059FE)	-0.032	0.008	0.997	-0.305	0.061	-16.479	0.41	-0.26	0.04	33.8	18258	30
2024-10-9 17:37:15:243	HC-06(556C659059FE)	0.005	0.000	0.997	-0.061	-0.122	-18.555	0.41	-0.26	-0.14	33.8	18258	30
2024-10-9 17:37:15:244	HC-06(556C659059FE)	0.012	0.007	0.994	0.305	-0.366	-19.348	0.42	-0.26	-0.33	33.8	18258	30
2024-10-9 17:37:15:246	HC-06(556C659059FE)	0.041	0.000	0.994	0.122	-0.305	-19.348	0.42	-0.26	-0.52	33.7	18258	30
2024-10-9 17:37:15:273	HC-06(556C659059FE)	-0.024	0.017	1.009	0.427	-0.183	-17.029	0.42	-0.26	-0.70	33.7	18258	30
2024-10-9 17:37:15:274	HC-06(556C659059FE)	0.004	-0.009	0.990	-0.793	0.000	-17.517	0.42	-0.26	-0.87	33.7	18258	30
2024-10-9 17:37:15:275	HC-06(556C659059FE)	-0.005	0.020	1.009	0.916	-0.244	-18.188	0.42	-0.26	-1.05	33.7	18258	30
2024-10-9 17:37:15:304	HC-06(556C659059FE)	0.022	-0.010	0.984	-0.183	-0.183	-18.860	0.42	-0.26	-1.24	33.7	18258	30
2024-10-9 17:37:15:305	HC-06(556C659059FE)	-0.009	0.022	1.012	0.610	-0.244	-18.005	0.43	-0.26	-1.42	33.7	18258	30
2024-10-9 17:37:15:305	HC-06(556C659059FE)	0.020	-0.007	0.987	-0.488	-0.061	-17.517	0.42	-0.26	-1.60	33.6	18258	30
2024-10-9 17:37:15:333	HC-06(556C659059FE)	0.003	0.017	1.005	0.671	-0.183	-17.456	0.43	-0.26	-1.77	33.6	18258	30
2024-10-9 17:37:15:336	HC-06(556C659059FE)	0.007	0.003	0.996	-0.122	0.061	-16.663	0.43	-0.26	-1.94	33.6	18258	30
2024-10-9 17:37:15:337	HC-06(556C659059FE)	0.011	0.002	0.998	0.183	-0.305	-16.846	0.43	-0.26	-2.11	33.6	18258	30
2024-10-9 17:37:15:364	HC-06(556C659059FE)	0.009	0.010	1.003	-0.366	0.061	-16.541	0.43	-0.26	-2.27	33.5	18258	30
2024-10-9 17:37:15:365	HC-06(556C659059FE)	0.006	0.002	0.992	0.610	-0.244	-15.869	0.43	-0.26	-2.43	33.6	18258	30
2024-10-9 17:37:15:366	HC-06(556C659059FE)	0.031	0.001	0.989	-0.488	0.000	-16.479	0.43	-0.26	-2.60	33.8	18258	30
2024-10-9 17:37:15:398	HC-06(556C659059FE)	-0.027	0.015	1.007	0.793	-0.244	-15.076	0.44	-0.26	-2.75	33.7	18258	30
2024-10-9 17:37:15:399	HC-06(556C659059FE)	-0.005	-0.002	0.992	-1.160	0.061	-15.503	0.43	-0.26	-2.91	33.8	18258	30
2024-10-9 17:37:15:399	HC-06(556C659059FE)	0.012	0.010	1.003	0.977	-0.488	-16.968	0.44	-0.26	-3.07	33.6	18258	30
2024-10-9 17:37:15:425	HC-06(556C659059FE)	0.018	0.000	0.991	-0.305	0.000	-17.151	0.44	-0.26	-3.25	33.7	18258	30
2024-10-9 17:37:15:426	HC-06(556C659059FE)	-0.020	0.011	1.002	0.549	-0.061	-16.235	0.44	-0.26	-3.41	33.7	18258	30
2024-10-9 17:37:15:453	HC-06(556C659059FE)	-0.005	0.001	0.994	-0.549	0.000	-16.968	0.44	-0.25	-3.58	33.7	18258	30
2024-10-9 17:37:15:455	HC-06(556C659059FE)	0.017	0.011	1.000	0.488	-0.244	-18.066	0.44	-0.25	-3.76	33.8	18258	30
2024-10-9 17:37:15:456	HC-06(556C659059FE)	0.009	0.002	0.998	0.000	-0.061	-17.944	0.44	-0.25	-3.94	33.7	18258	30
2024-10-9 17:37:15:456	HC-06(556C659059FE)	-0.016	0.008	1.003	0.183	-0.061	-17.273	0.44	-0.25	-4.11	33.7	18258	30
2024-10-9 17:37:15:482	HC-06(556C659059FE)	0.007	0.010	1.000	-0.061	-0.061	-17.822	0.44	-0.25	-4.28	33.7	18258	30
2024-10-9 17:37:15:483	HC-06(556C659059FE)	-0.007	0.006	1.002	0.366	-0.244	-17.578	0.45	-0.25	-4.46	33.7	18258	30
2024-10-9 17:37:15:483	HC-06(556C659059FE)	0.019	-0.003	0.988	-0.671	0.000	-18.372	0.44	-0.25	-4.64	33.6	18258	30
2024-10-9 17:37:15:512	HC-06(556C659059FE)	-0.009	0.012	1.005	0.732	-0.244	-18.005	0.45	-0.25	-4.82	33.7	18258	30
2024-10-9 17:37:15:517	HC-06(556C659059FE)	0.011	0.000	0.998	-0.732	0.061	-18.005	0.45	-0.25	-5.00	33.7	18258	30
2024-10-9 17:37:15:517	HC-06(556C659059FE)	0.016	0.009	0.998	0.732	-0.427	-18.250	0.45	-0.25	-5.19	33.5	18258	30
2024-10-9 17:37:15:545	HC-06(556C659059FE)	-0.004	0.010	0.994	-0.427	0.061	-17.395	0.45	-0.25	-5.37	33.6	18258	30
2024-10-9 17:37:15:545	HC-06(556C659059FE)	0.014	0.003	0.995	0.366	-0.305	-17.212	0.45	-0.25	-5.54	33.8	18258	30
2024-10-9 17:37:15:546	HC-06(556C659059FE)	0.021	0.008	1.004	-0.061	-0.122	-17.395	0.46	-0.25	-5.71	33.6	18258	30
2024-10-9 17:37:15:574	HC-06(556C659059FE)	-0.014	0.009	1.000	0.610	-0.305	-15.991	0.46	-0.25	-5.87	33.8	18258	30
2024-10-9 17:37:15:602	HC-06(556C659059FE)	0.030	-0.003	0.989	-0.610	0.000	-16.602	0.46	-0.25	-6.04	33.6	18258	30
2024-10-9 17:37:15:602	HC-06(556C659059FE)	-0.010	0.013	1.007	1.282	-0.549	-16.296	0.46	-0.25	-6.20	33.6	18258	30
2024-10-9 17:37:15:606	HC-06(556C659059FE)	-0.007	0.002	0.999	-1.221	0.061	-15.930	0.46	-0.25	-6.36	33.7	18258	30
