时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-9 17:8:52:676	HC-06(556C659059FE)	-0.010	0.009	0.979	-0.305	0.671	16.357	-0.15	-0.13	11.07	33.6	18258	30
2024-10-9 17:8:52:676	HC-06(556C659059FE)	-0.004	0.009	0.978	0.000	0.122	16.907	-0.15	-0.12	11.26	33.5	18258	30
2024-10-9 17:8:52:677	HC-06(556C659059FE)	-0.017	0.008	1.003	0.916	0.549	16.541	-0.15	-0.12	11.44	33.5	18258	30
2024-10-9 17:8:52:678	HC-06(556C659059FE)	0.002	0.000	0.994	0.488	0.183	16.357	-0.16	-0.11	11.62	33.5	18258	30
2024-10-9 17:8:52:705	HC-06(556C659059FE)	-0.007	-0.002	0.991	0.366	0.244	16.113	-0.16	-0.10	11.79	33.6	18258	30
2024-10-9 17:8:52:706	HC-06(556C659059FE)	-0.000	-0.013	0.993	-0.488	0.122	16.785	-0.16	-0.10	11.98	33.6	18258	30
2024-10-9 17:8:52:707	HC-06(556C659059FE)	-0.009	-0.005	0.991	0.061	0.244	16.602	-0.16	-0.10	12.16	33.5	18258	30
2024-10-9 17:8:52:708	HC-06(556C659059FE)	0.004	-0.003	0.991	0.000	0.183	17.029	-0.16	-0.09	12.34	33.6	18258	30
2024-10-9 17:8:52:708	HC-06(556C659059FE)	-0.017	0.005	1.004	-0.244	0.183	17.029	-0.16	-0.09	12.52	33.5	18258	30
2024-10-9 17:8:52:738	HC-06(556C659059FE)	0.020	0.004	1.000	-0.366	0.122	16.968	-0.16	-0.09	12.71	33.5	18258	30
2024-10-9 17:8:52:738	HC-06(556C659059FE)	-0.014	0.006	1.006	0.793	0.122	16.663	-0.16	-0.08	12.89	33.5	18258	30
2024-10-9 17:8:52:738	HC-06(556C659059FE)	-0.001	0.008	1.005	0.000	0.183	18.616	-0.17	-0.08	13.09	33.6	18258	30
2024-10-9 17:8:52:740	HC-06(556C659059FE)	-0.003	0.003	1.001	0.305	0.244	17.761	-0.17	-0.08	13.28	33.5	18258	30
2024-10-9 17:8:52:796	HC-06(556C659059FE)	-0.011	0.004	1.003	-0.122	0.000	17.883	-0.18	-0.07	13.47	33.6	18258	30
2024-10-9 17:8:52:796	HC-06(556C659059FE)	0.013	0.003	1.001	0.427	0.000	18.066	-0.18	-0.07	13.67	33.5	18258	30
