时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 9:48:46:684	HC-06(00:0C:BF:0B:72:49)	0.207	-0.418	1.150	0.000	0.000	0.000	-20.28	-8.85	114.26	34.1	18258	0
2024-10-13 9:48:46:686	HC-06(00:0C:BF:0B:72:49)	0.207	-0.420	1.149	0.000	0.000	0.000	-20.28	-8.85	114.25	34.0	18258	0
2024-10-13 9:48:46:687	HC-06(00:0C:BF:0B:72:49)	0.207	-0.420	1.151	0.000	0.000	0.000	-20.28	-8.86	114.25	34.1	18258	0
2024-10-13 9:48:46:688	HC-06(00:0C:BF:0B:72:49)	0.207	-0.419	1.154	0.000	0.000	0.000	-20.28	-8.86	114.24	34.2	18258	0
2024-10-13 9:48:46:690	HC-06(00:0C:BF:0B:72:49)	0.208	-0.419	1.151	0.000	0.000	0.000	-20.28	-8.87	114.23	34.0	18258	0
2024-10-13 9:48:46:691	HC-06(00:0C:BF:0B:72:49)	0.207	-0.419	1.153	0.000	0.000	0.000	-20.27	-8.87	114.22	34.1	18258	0
2024-10-13 9:48:46:691	HC-06(00:0C:BF:0B:72:49)	0.205	-0.419	1.153	0.000	0.000	0.000	-20.27	-8.88	114.21	34.1	18258	0
2024-10-13 9:48:46:692	HC-06(00:0C:BF:0B:72:49)	0.207	-0.419	1.150	0.000	0.000	0.000	-20.27	-8.88	114.20	34.1	18258	0
2024-10-13 9:48:46:695	HC-06(00:0C:BF:0B:72:49)	0.207	-0.419	1.149	0.000	0.000	0.000	-20.26	-8.88	114.20	34.1	18258	0
2024-10-13 9:48:46:695	HC-06(00:0C:BF:0B:72:49)	0.206	-0.417	1.149	0.000	0.000	0.000	-20.26	-8.89	114.19	34.0	18258	0
2024-10-13 9:48:46:706	HC-06(00:0C:BF:0B:72:49)	0.207	-0.418	1.149	0.000	0.000	0.000	-20.26	-8.89	114.18	34.1	18258	0
2024-10-13 9:48:46:708	HC-06(00:0C:BF:0B:72:49)	0.207	-0.418	1.152	0.000	0.000	0.000	-20.26	-8.90	114.18	34.1	18258	0
2024-10-13 9:48:46:725	HC-06(00:0C:BF:0B:72:49)	0.208	-0.419	1.151	0.000	0.000	0.000	-20.26	-8.90	114.16	34.1	18258	0
2024-10-13 9:48:46:732	HC-06(00:0C:BF:0B:72:49)	0.207	-0.419	1.152	0.000	0.000	0.000	-20.26	-8.90	114.16	34.1	18258	0
2024-10-13 9:48:46:748	HC-06(00:0C:BF:0B:72:49)	0.208	-0.419	1.150	0.000	0.000	0.000	-20.26	-8.91	114.15	34.0	18258	0
2024-10-13 9:48:46:750	HC-06(00:0C:BF:0B:72:49)	0.208	-0.420	1.150	0.000	0.000	0.000	-20.26	-8.92	114.14	34.0	18258	0
2024-10-13 9:48:46:770	HC-06(00:0C:BF:0B:72:49)	0.208	-0.419	1.151	0.000	0.000	0.000	-20.25	-8.92	114.14	34.1	18258	0
2024-10-13 9:48:46:772	HC-06(00:0C:BF:0B:72:49)	0.207	-0.419	1.150	0.000	0.000	0.000	-20.25	-8.92	114.13	34.2	18258	0
2024-10-13 9:48:46:785	HC-06(00:0C:BF:0B:72:49)	0.208	-0.420	1.151	0.000	0.000	0.000	-20.25	-8.93	114.12	34.1	18258	0
2024-10-13 9:48:46:788	HC-06(00:0C:BF:0B:72:49)	0.207	-0.420	1.152	0.000	0.000	0.000	-20.25	-8.93	114.11	34.1	18258	0
2024-10-13 9:48:46:804	HC-06(00:0C:BF:0B:72:49)	0.207	-0.419	1.153	0.000	0.000	0.000	-20.25	-8.93	114.10	34.2	18258	0
2024-10-13 9:48:46:809	HC-06(00:0C:BF:0B:72:49)	0.206	-0.420	1.151	0.000	0.000	0.000	-20.25	-8.94	114.10	34.1	18258	0
2024-10-13 9:48:46:829	HC-06(00:0C:BF:0B:72:49)	0.206	-0.419	1.151	0.000	0.000	0.000	-20.25	-8.94	114.09	34.2	18258	0
2024-10-13 9:48:46:832	HC-06(00:0C:BF:0B:72:49)	0.206	-0.419	1.151	0.000	0.000	0.000	-20.25	-8.94	114.08	34.1	18258	0
2024-10-13 9:48:46:846	HC-06(00:0C:BF:0B:72:49)	0.205	-0.419	1.150	0.000	0.000	0.000	-20.24	-8.95	114.08	34.1	18258	0
2024-10-13 9:48:46:851	HC-06(00:0C:BF:0B:72:49)	0.206	-0.417	1.151	0.000	0.000	0.000	-20.24	-8.95	114.07	34.0	18258	0
2024-10-13 9:48:46:870	HC-06(00:0C:BF:0B:72:49)	0.207	-0.419	1.150	0.000	0.000	0.000	-20.24	-8.95	114.06	34.1	18258	0
2024-10-13 9:48:46:872	HC-06(00:0C:BF:0B:72:49)	0.206	-0.419	1.150	0.000	0.000	0.000	-20.24	-8.96	114.05	34.1	18258	0
2024-10-13 9:48:46:889	HC-06(00:0C:BF:0B:72:49)	0.207	-0.420	1.151	0.000	0.000	0.000	-20.24	-8.96	114.05	34.2	18258	0
2024-10-13 9:48:46:891	HC-06(00:0C:BF:0B:72:49)	0.208	-0.419	1.151	0.000	0.000	0.000	-20.24	-8.96	114.04	34.1	18258	0
2024-10-13 9:48:46:908	HC-06(00:0C:BF:0B:72:49)	0.208	-0.418	1.154	0.000	0.000	0.000	-20.24	-8.97	114.03	34.1	18258	0
2024-10-13 9:48:46:913	HC-06(00:0C:BF:0B:72:49)	0.207	-0.418	1.153	0.000	0.000	0.000	-20.24	-8.98	114.03	34.1	18258	0
2024-10-13 9:48:46:924	HC-06(00:0C:BF:0B:72:49)	0.206	-0.419	1.153	0.000	0.000	0.000	-20.23	-8.98	114.02	34.0	18258	0
2024-10-13 9:48:46:930	HC-06(00:0C:BF:0B:72:49)	0.207	-0.418	1.151	0.000	0.000	0.000	-20.23	-8.98	114.01	34.0	18258	0
2024-10-13 9:48:46:946	HC-06(00:0C:BF:0B:72:49)	0.206	-0.419	1.151	0.000	0.000	0.000	-20.23	-8.99	114.01	34.1	18258	0
2024-10-13 9:48:46:948	HC-06(00:0C:BF:0B:72:49)	0.208	-0.418	1.150	0.000	0.000	0.000	-20.23	-8.99	114.00	34.1	18258	0
2024-10-13 9:48:46:966	HC-06(00:0C:BF:0B:72:49)	0.206	-0.419	1.150	0.000	0.000	0.000	-20.23	-8.99	113.99	34.1	18258	0
2024-10-13 9:48:46:969	HC-06(00:0C:BF:0B:72:49)	0.205	-0.419	1.150	0.000	0.000	0.000	-20.23	-9.00	113.98	34.1	18258	0
2024-10-13 9:48:46:984	HC-06(00:0C:BF:0B:72:49)	0.207	-0.420	1.150	0.000	0.000	0.000	-20.23	-9.00	113.98	34.0	18258	0
2024-10-13 9:48:46:987	HC-06(00:0C:BF:0B:72:49)	0.206	-0.419	1.151	0.000	0.000	0.000	-20.23	-9.00	113.97	34.1	18258	0
2024-10-13 9:48:47:6	HC-06(00:0C:BF:0B:72:49)	0.206	-0.420	1.150	0.000	0.000	0.000	-20.23	-9.01	113.97	34.1	18258	0
2024-10-13 9:48:47:11	HC-06(00:0C:BF:0B:72:49)	0.207	-0.420	1.151	0.000	0.000	0.000	-20.22	-9.01	113.96	34.1	18258	0
2024-10-13 9:48:47:29	HC-06(00:0C:BF:0B:72:49)	0.207	-0.419	1.151	0.000	0.000	0.000	-20.22	-9.01	113.95	34.1	18258	0
2024-10-13 9:48:47:31	HC-06(00:0C:BF:0B:72:49)	0.207	-0.418	1.153	0.000	0.000	0.000	-20.22	-9.01	113.94	34.0	18258	0
2024-10-13 9:48:47:45	HC-06(00:0C:BF:0B:72:49)	0.206	-0.418	1.153	0.000	0.000	0.000	-20.22	-9.02	113.94	34.1	18258	0
2024-10-13 9:48:47:47	HC-06(00:0C:BF:0B:72:49)	0.205	-0.418	1.151	0.000	0.000	0.000	-20.21	-9.03	113.93	34.1	18258	0
2024-10-13 9:48:47:71	HC-06(00:0C:BF:0B:72:49)	0.207	-0.419	1.151	0.000	0.000	0.000	-20.21	-9.03	113.92	34.1	18258	0
2024-10-13 9:48:47:74	HC-06(00:0C:BF:0B:72:49)	0.206	-0.419	1.151	0.000	0.000	0.000	-20.21	-9.03	113.92	34.1	18258	0
2024-10-13 9:48:47:89	HC-06(00:0C:BF:0B:72:49)	0.205	-0.419	1.150	0.000	0.000	0.000	-20.21	-9.03	113.91	34.1	18258	0
2024-10-13 9:48:47:92	HC-06(00:0C:BF:0B:72:49)	0.206	-0.420	1.149	0.000	0.000	0.000	-20.21	-9.04	113.91	34.2	18258	0
2024-10-13 9:48:47:107	HC-06(00:0C:BF:0B:72:49)	0.208	-0.420	1.150	0.000	0.000	0.000	-20.21	-9.04	113.90	34.1	18258	0
2024-10-13 9:48:47:114	HC-06(00:0C:BF:0B:72:49)	0.208	-0.421	1.150	0.000	0.000	0.000	-20.21	-9.04	113.90	34.1	18258	0
2024-10-13 9:48:47:125	HC-06(00:0C:BF:0B:72:49)	0.207	-0.421	1.150	0.000	0.000	0.000	-20.21	-9.05	113.89	34.2	18258	0
2024-10-13 9:48:47:130	HC-06(00:0C:BF:0B:72:49)	0.206	-0.418	1.150	0.000	0.000	0.000	-20.21	-9.05	113.88	34.0	18258	0
2024-10-13 9:48:47:145	HC-06(00:0C:BF:0B:72:49)	0.206	-0.419	1.150	0.000	0.000	0.000	-20.21	-9.05	113.87	34.2	18258	0
