时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 9:57:57:6	HC-06(556C659059FE)	0.000	0.001	0.999	0.061	0.000	0.000	0.35	0.74	-103.90	26.6	18258	100
2024-10-13 9:57:57:7	HC-06(556C659059FE)	-0.000	0.002	0.999	0.061	0.000	0.000	0.34	0.73	-103.89	26.4	18258	100
2024-10-13 9:57:57:8	HC-06(556C659059FE)	0.000	0.001	1.000	0.000	0.000	0.000	0.34	0.73	-103.89	26.5	18258	100
2024-10-13 9:57:57:9	HC-06(556C659059FE)	0.000	0.001	1.000	0.061	0.061	0.000	0.34	0.73	-103.88	26.4	18258	100
2024-10-13 9:57:57:36	HC-06(556C659059FE)	0.000	0.001	1.000	0.000	0.000	0.000	0.34	0.72	-103.88	26.5	18258	100
2024-10-13 9:57:57:37	HC-06(556C659059FE)	-0.001	0.002	1.000	0.000	0.000	0.000	0.34	0.71	-103.87	26.5	18258	100
2024-10-13 9:57:57:37	HC-06(556C659059FE)	0.000	0.001	0.999	0.122	0.061	0.000	0.34	0.71	-103.86	26.6	18258	100
2024-10-13 9:57:57:39	HC-06(556C659059FE)	0.000	0.001	0.999	0.061	0.000	0.000	0.34	0.71	-103.86	26.6	18258	100
2024-10-13 9:57:57:40	HC-06(556C659059FE)	-0.000	0.001	1.000	0.000	0.000	0.000	0.34	0.70	-103.85	26.6	18258	100
2024-10-13 9:57:57:67	HC-06(556C659059FE)	0.000	0.002	0.999	0.061	0.000	0.000	0.34	0.70	-103.85	26.6	18258	100
2024-10-13 9:57:57:69	HC-06(556C659059FE)	0.000	0.001	0.999	0.061	0.000	0.000	0.33	0.70	-103.84	26.6	18258	100
2024-10-13 9:57:57:69	HC-06(556C659059FE)	0.000	0.001	0.999	0.061	0.000	0.000	0.33	0.69	-103.84	26.6	18258	100
2024-10-13 9:57:57:70	HC-06(556C659059FE)	0.001	0.002	0.999	0.000	0.000	0.000	0.33	0.69	-103.83	26.6	18258	100
2024-10-13 9:57:57:97	HC-06(556C659059FE)	0.001	0.001	0.999	0.000	0.000	0.000	0.33	0.68	-103.83	26.5	18258	100
