时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-9 17:29:41:791	HC-06(556C659059FE)	-0.002	-0.002	0.998	0.000	0.000	0.000	-0.37	0.09	88.35	35.0	18258	30
2024-10-9 17:29:41:791	HC-06(556C659059FE)	-0.005	-0.002	0.997	0.000	0.000	0.000	-0.37	0.09	88.35	34.9	18258	30
2024-10-9 17:29:41:793	HC-06(556C659059FE)	-0.005	-0.003	0.997	0.000	0.000	0.000	-0.37	0.09	88.35	34.8	18258	30
2024-10-9 17:29:41:800	HC-06(556C659059FE)	-0.006	-0.004	0.999	0.000	0.000	0.000	-0.36	0.10	88.35	34.9	18258	30
2024-10-9 17:29:41:801	HC-06(556C659059FE)	-0.006	-0.006	0.996	0.000	0.000	0.000	-0.36	0.10	88.35	34.9	18258	30
2024-10-9 17:29:41:826	HC-06(556C659059FE)	-0.006	-0.006	0.999	0.000	0.000	0.000	-0.36	0.10	88.34	34.8	18258	30
2024-10-9 17:29:41:853	HC-06(556C659059FE)	-0.003	-0.003	1.000	0.000	0.000	0.000	-0.36	0.10	88.34	34.9	18258	30
2024-10-9 17:29:41:853	HC-06(556C659059FE)	-0.003	-0.003	0.998	0.000	0.000	0.000	-0.36	0.10	88.34	34.8	18258	30
2024-10-9 17:29:41:854	HC-06(556C659059FE)	-0.003	-0.002	0.999	0.000	0.000	0.000	-0.36	0.10	88.34	34.8	18258	30
2024-10-9 17:29:41:854	HC-06(556C659059FE)	-0.004	-0.001	0.999	0.000	0.000	0.000	-0.36	0.10	88.34	35.0	18258	30
2024-10-9 17:29:41:855	HC-06(556C659059FE)	-0.006	-0.003	0.999	0.000	0.000	0.000	-0.36	0.10	88.34	34.9	18258	30
2024-10-9 17:29:41:884	HC-06(556C659059FE)	-0.007	-0.004	0.998	0.000	0.000	0.000	-0.36	0.10	88.34	34.9	18258	30
2024-10-9 17:29:41:884	HC-06(556C659059FE)	-0.007	-0.005	1.000	0.000	0.000	0.000	-0.36	0.10	88.33	34.9	18258	30
2024-10-9 17:29:41:885	HC-06(556C659059FE)	-0.006	-0.005	0.997	0.000	0.000	0.000	-0.36	0.11	88.33	34.8	18258	30
2024-10-9 17:29:41:886	HC-06(556C659059FE)	-0.003	-0.003	0.999	0.000	0.000	0.000	-0.36	0.11	88.33	34.9	18258	30
2024-10-9 17:29:41:913	HC-06(556C659059FE)	-0.005	-0.002	0.998	0.000	0.000	0.000	-0.35	0.11	88.32	35.0	18258	30
2024-10-9 17:29:41:913	HC-06(556C659059FE)	-0.004	-0.002	0.999	0.000	0.000	0.000	-0.35	0.11	88.32	34.9	18258	30
2024-10-9 17:29:41:915	HC-06(556C659059FE)	-0.005	-0.002	0.997	0.000	0.000	0.000	-0.35	0.11	88.32	34.8	18258	30
2024-10-9 17:29:41:915	HC-06(556C659059FE)	-0.004	-0.003	0.999	0.000	0.000	0.000	-0.35	0.11	88.32	34.9	18258	30
2024-10-9 17:29:41:972	HC-06(556C659059FE)	-0.004	-0.005	0.997	0.000	0.000	0.000	-0.35	0.12	88.32	34.9	18258	30
2024-10-9 17:29:41:972	HC-06(556C659059FE)	-0.005	-0.005	0.997	0.000	0.000	0.000	-0.35	0.12	88.32	34.8	18258	30
2024-10-9 17:29:41:972	HC-06(556C659059FE)	-0.006	-0.005	0.997	0.000	0.000	0.000	-0.35	0.12	88.32	34.9	18258	30
2024-10-9 17:29:41:975	HC-06(556C659059FE)	-0.004	-0.004	0.997	0.000	0.000	0.000	-0.35	0.12	88.31	34.9	18258	30
2024-10-9 17:29:41:976	HC-06(556C659059FE)	-0.005	-0.004	0.997	0.000	0.000	0.000	-0.35	0.12	88.31	34.9	18258	30
2024-10-9 17:29:42:2	HC-06(556C659059FE)	-0.002	-0.003	1.001	0.000	0.000	0.000	-0.35	0.12	88.31	35.1	18258	30
2024-10-9 17:29:42:3	HC-06(556C659059FE)	-0.003	-0.003	0.999	0.000	0.000	0.000	-0.35	0.12	88.31	35.0	18258	30
2024-10-9 17:29:42:4	HC-06(556C659059FE)	-0.004	-0.003	0.999	0.000	0.000	0.000	-0.35	0.12	88.31	34.9	18258	30
2024-10-9 17:29:42:4	HC-06(556C659059FE)	-0.007	-0.003	0.999	0.000	0.000	0.000	-0.35	0.12	88.31	34.9	18258	30
2024-10-9 17:29:42:33	HC-06(556C659059FE)	-0.005	-0.003	0.999	0.000	0.000	0.000	-0.35	0.12	88.31	34.9	18258	30
2024-10-9 17:29:42:33	HC-06(556C659059FE)	-0.005	-0.005	0.996	0.000	0.000	0.000	-0.34	0.12	88.31	34.9	18258	30
2024-10-9 17:29:42:63	HC-06(556C659059FE)	-0.005	-0.005	0.998	0.000	0.000	0.000	-0.34	0.13	88.30	34.8	18258	30
2024-10-9 17:29:42:64	HC-06(556C659059FE)	-0.003	-0.004	0.998	0.000	0.000	0.000	-0.34	0.13	88.30	35.0	18258	30
2024-10-9 17:29:42:94	HC-06(556C659059FE)	-0.003	-0.004	0.998	0.000	0.000	0.000	-0.34	0.13	88.30	34.9	18258	30
2024-10-9 17:29:42:99	HC-06(556C659059FE)	-0.003	-0.002	1.000	0.000	0.000	0.000	-0.34	0.13	88.30	34.8	18258	30
2024-10-9 17:29:42:99	HC-06(556C659059FE)	-0.003	-0.002	0.999	0.000	0.000	0.000	-0.34	0.13	88.30	34.8	18258	30
2024-10-9 17:29:42:100	HC-06(556C659059FE)	-0.004	-0.003	0.998	0.000	0.000	0.000	-0.34	0.13	88.30	34.8	18258	30
2024-10-9 17:29:42:124	HC-06(556C659059FE)	-0.006	-0.003	0.999	0.000	0.000	0.000	-0.34	0.13	88.30	35.0	18258	30
2024-10-9 17:29:42:125	HC-06(556C659059FE)	-0.004	-0.004	0.996	0.000	0.000	0.000	-0.34	0.13	88.29	34.8	18258	30
2024-10-9 17:29:42:125	HC-06(556C659059FE)	-0.008	-0.007	0.992	0.000	0.000	0.000	-0.34	0.13	88.29	34.9	18258	30
2024-10-9 17:29:42:126	HC-06(556C659059FE)	-0.004	-0.001	1.017	0.000	0.000	0.000	-0.34	0.13	88.29	34.9	18258	30
2024-10-9 17:29:42:153	HC-06(556C659059FE)	-0.000	-0.005	0.997	0.000	0.000	0.000	-0.34	0.13	88.29	34.9	18258	30
2024-10-9 17:29:42:154	HC-06(556C659059FE)	-0.004	-0.005	0.998	0.000	0.000	0.000	-0.34	0.13	88.29	34.9	18258	30
2024-10-9 17:29:42:154	HC-06(556C659059FE)	-0.005	-0.001	1.005	0.000	0.000	0.000	-0.34	0.14	88.29	34.9	18258	30
2024-10-9 17:29:42:155	HC-06(556C659059FE)	-0.007	-0.001	0.993	0.000	0.000	0.000	-0.34	0.14	88.29	35.0	18258	30
2024-10-9 17:29:42:155	HC-06(556C659059FE)	-0.007	-0.004	1.008	0.000	0.000	0.000	-0.33	0.14	88.29	34.9	18258	30
2024-10-9 17:29:42:183	HC-06(556C659059FE)	-0.005	-0.008	0.992	0.000	0.000	0.000	-0.33	0.14	88.29	34.9	18258	30
2024-10-9 17:29:42:184	HC-06(556C659059FE)	-0.004	-0.005	1.005	0.000	0.000	0.000	-0.33	0.14	88.28	34.8	18258	30
