时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 9:59:20:303	HC-06(556C659059FE)	0.105	-0.075	0.994	-1.160	0.122	-0.732	-3.99	-6.35	-105.94	27.0	18258	100
2024-10-13 9:59:20:304	HC-06(556C659059FE)	0.109	-0.080	0.997	-0.916	-0.977	-0.977	-4.00	-6.36	-105.94	27.1	18258	100
2024-10-13 9:59:20:328	HC-06(556C659059FE)	0.108	-0.080	0.994	0.061	-1.099	-0.793	-4.00	-6.37	-105.95	27.2	18258	100
2024-10-13 9:59:20:330	HC-06(556C659059FE)	0.113	-0.077	0.994	0.305	-1.221	-0.671	-4.00	-6.38	-105.96	27.1	18258	100
2024-10-13 9:59:20:330	HC-06(556C659059FE)	0.111	-0.075	0.992	-0.061	-0.732	-0.671	-4.00	-6.39	-105.96	27.2	18258	100
2024-10-13 9:59:20:330	HC-06(556C659059FE)	0.105	-0.077	0.987	-0.488	0.000	-0.671	-4.00	-6.39	-105.97	27.1	18258	100
2024-10-13 9:59:20:355	HC-06(556C659059FE)	0.103	-0.077	0.985	-0.244	-0.122	-0.854	-4.01	-6.39	-105.98	27.1	18258	100
2024-10-13 9:59:20:356	HC-06(556C659059FE)	0.096	-0.073	0.979	-0.061	-0.305	-0.916	-4.01	-6.39	-105.99	27.1	18258	100
2024-10-13 9:59:20:356	HC-06(556C659059FE)	0.101	-0.070	0.977	-0.122	-1.282	-1.282	-4.01	-6.40	-106.00	27.4	18258	100
2024-10-13 9:59:20:356	HC-06(556C659059FE)	0.098	-0.063	0.974	-0.244	-1.282	-1.648	-4.01	-6.42	-106.01	27.1	18258	100
2024-10-13 9:59:20:357	HC-06(556C659059FE)	0.085	-0.059	0.979	-1.160	-0.183	-1.648	-4.02	-6.42	-106.03	27.1	18258	100
2024-10-13 9:59:20:418	HC-06(556C659059FE)	0.089	-0.061	0.986	-2.075	-0.732	-1.831	-4.04	-6.42	-106.05	27.2	18258	100
2024-10-13 9:59:20:418	HC-06(556C659059FE)	0.088	-0.060	0.994	-2.625	-1.099	-2.014	-4.06	-6.43	-106.07	27.2	18258	100
2024-10-13 9:59:20:418	HC-06(556C659059FE)	0.083	-0.065	1.002	-3.296	-1.160	-1.953	-4.09	-6.44	-106.08	27.3	18258	100
2024-10-13 9:59:20:418	HC-06(556C659059FE)	0.092	-0.072	1.013	-2.441	-1.343	-2.136	-4.11	-6.45	-106.11	27.4	18258	100
2024-10-13 9:59:20:419	HC-06(556C659059FE)	0.091	-0.068	1.020	-1.648	-1.221	-2.380	-4.13	-6.46	-106.13	27.1	18258	100
2024-10-13 9:59:20:453	HC-06(556C659059FE)	0.090	-0.069	1.026	-2.808	-0.305	-2.502	-4.15	-6.47	-106.15	27.3	18258	100
