时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 10:0:32:503	HC-06(556C659059FE)	-0.004	0.014	0.998	0.000	0.000	0.000	0.04	0.01	0.00	28.1	18258	100
2024-10-13 10:0:32:503	HC-06(556C659059FE)	-0.003	0.011	0.998	0.000	0.000	0.000	0.04	0.01	0.00	28.0	18258	100
2024-10-13 10:0:32:528	HC-06(556C659059FE)	-0.002	0.003	0.999	0.000	0.000	0.000	0.04	0.01	0.00	28.2	18258	100
2024-10-13 10:0:32:529	HC-06(556C659059FE)	-0.001	0.001	1.000	0.000	0.000	0.000	0.04	0.01	0.00	28.1	18258	100
2024-10-13 10:0:32:529	HC-06(556C659059FE)	0.000	-0.002	1.000	0.000	0.000	0.000	0.05	0.02	0.00	28.1	18258	100
2024-10-13 10:0:32:530	HC-06(556C659059FE)	0.001	-0.006	0.999	0.000	0.000	0.000	0.05	0.02	0.00	28.1	18258	100
2024-10-13 10:0:32:530	HC-06(556C659059FE)	0.002	-0.007	0.999	0.000	0.000	0.000	0.05	0.02	0.00	28.1	18258	100
2024-10-13 10:0:32:560	HC-06(556C659059FE)	0.002	-0.004	1.000	0.000	0.000	0.000	0.05	0.02	0.00	28.2	18258	100
2024-10-13 10:0:32:560	HC-06(556C659059FE)	0.001	-0.000	1.000	0.000	0.000	0.000	0.05	0.02	0.00	28.1	18258	100
2024-10-13 10:0:32:560	HC-06(556C659059FE)	0.002	0.002	1.000	0.000	0.000	0.000	0.05	0.02	0.00	28.2	18258	100
2024-10-13 10:0:32:561	HC-06(556C659059FE)	0.003	0.002	0.998	0.000	0.000	0.000	0.05	0.02	0.00	28.1	18258	100
2024-10-13 10:0:32:589	HC-06(556C659059FE)	0.003	0.000	0.998	0.000	0.000	0.000	0.05	0.02	0.00	28.2	18258	100
2024-10-13 10:0:32:618	HC-06(556C659059FE)	0.003	0.000	0.999	0.000	0.000	0.000	0.05	0.02	0.00	28.1	18258	100
2024-10-13 10:0:32:618	HC-06(556C659059FE)	0.002	-0.000	1.002	0.000	0.000	0.000	0.05	0.02	0.00	28.1	18258	100
2024-10-13 10:0:32:618	HC-06(556C659059FE)	0.001	0.000	1.003	0.000	0.000	0.000	0.05	0.02	0.00	28.2	18258	100
2024-10-13 10:0:32:622	HC-06(556C659059FE)	-0.000	0.001	1.002	0.000	0.000	0.000	0.05	0.02	0.00	28.1	18258	100
2024-10-13 10:0:32:648	HC-06(556C659059FE)	0.000	0.003	1.003	0.000	0.000	0.000	0.05	0.02	0.00	28.2	18258	100
2024-10-13 10:0:32:648	HC-06(556C659059FE)	0.000	0.004	1.002	0.000	0.000	0.000	0.05	0.02	0.00	28.1	18258	100
2024-10-13 10:0:32:649	HC-06(556C659059FE)	0.000	0.004	1.001	0.000	0.000	0.000	0.05	0.02	0.00	28.1	18258	100
2024-10-13 10:0:32:651	HC-06(556C659059FE)	0.000	0.005	1.001	0.000	0.000	0.000	0.05	0.02	0.00	28.2	18258	100
2024-10-13 10:0:32:651	HC-06(556C659059FE)	0.000	0.008	1.002	0.000	0.000	0.000	0.05	0.02	0.00	28.2	18258	100
2024-10-13 10:0:32:678	HC-06(556C659059FE)	0.000	0.010	1.003	0.000	0.000	0.000	0.05	0.02	0.00	28.0	18258	100
