时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-9 17:17:12:519	HC-06(00:0C:BF:08:48:06)	0.007	0.006	1.005	-0.366	-0.366	17.639	-0.44	-0.79	-162.34	33.1	18258	10
2024-10-9 17:17:12:520	HC-06(00:0C:BF:08:48:06)	0.020	0.000	1.002	-0.610	-0.671	17.212	-0.44	-0.79	-162.17	33.1	18258	10
2024-10-9 17:17:12:524	HC-06(00:0C:BF:08:48:06)	0.016	0.007	0.998	-0.061	-0.244	17.273	-0.44	-0.79	-162.00	33.1	18258	10
2024-10-9 17:17:12:526	HC-06(00:0C:BF:08:48:06)	-0.002	0.014	1.000	0.000	0.000	16.724	-0.44	-0.79	-161.83	33.1	18258	10
2024-10-9 17:17:12:544	HC-06(00:0C:BF:08:48:06)	0.016	-0.000	1.002	-0.244	-0.183	15.930	-0.44	-0.79	-161.67	33.2	18258	10
2024-10-9 17:17:12:546	HC-06(00:0C:BF:08:48:06)	0.004	-0.004	0.999	-0.366	-0.183	16.479	-0.45	-0.79	-161.51	33.2	18258	10
2024-10-9 17:17:12:564	HC-06(00:0C:BF:08:48:06)	0.020	0.009	1.002	0.000	0.305	16.663	-0.45	-0.78	-161.35	33.4	18258	10
2024-10-9 17:17:12:565	HC-06(00:0C:BF:08:48:06)	0.009	-0.006	0.996	-0.610	-0.122	18.066	-0.46	-0.78	-161.16	33.2	18258	10
2024-10-9 17:17:12:586	HC-06(00:0C:BF:08:48:06)	0.013	-0.007	0.998	0.183	0.000	17.639	-0.46	-0.78	-160.99	33.3	18258	10
2024-10-9 17:17:12:587	HC-06(00:0C:BF:08:48:06)	-0.000	0.011	0.998	-0.305	-0.610	17.578	-0.46	-0.78	-160.81	33.2	18258	10
2024-10-9 17:17:12:604	HC-06(00:0C:BF:08:48:06)	0.012	0.014	1.003	0.000	0.061	16.357	-0.46	-0.77	-160.65	33.3	18258	10
2024-10-9 17:17:12:606	HC-06(00:0C:BF:08:48:06)	0.002	-0.004	1.000	-0.427	0.000	15.991	-0.46	-0.77	-160.48	33.3	18258	10
2024-10-9 17:17:12:624	HC-06(00:0C:BF:08:48:06)	-0.004	-0.012	0.999	-0.183	0.000	16.052	-0.46	-0.77	-160.32	33.3	18258	10
2024-10-9 17:17:12:628	HC-06(00:0C:BF:08:48:06)	0.016	-0.006	1.001	0.183	0.549	16.785	-0.46	-0.77	-160.16	33.3	18258	10
2024-10-9 17:17:12:646	HC-06(00:0C:BF:08:48:06)	0.008	0.001	0.998	-0.488	-0.183	17.273	-0.46	-0.76	-159.99	33.3	18258	10
2024-10-9 17:17:12:647	HC-06(00:0C:BF:08:48:06)	0.011	-0.009	0.995	0.000	0.427	17.334	-0.46	-0.76	-159.81	33.3	18258	10
2024-10-9 17:17:12:666	HC-06(00:0C:BF:08:48:06)	0.026	-0.020	0.998	-0.244	0.000	17.822	-0.46	-0.76	-159.64	33.3	18258	10
