时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 9:47:24:322	HC-06(00:0C:BF:0B:72:49)	0.234	-0.478	1.156	-0.061	0.122	-0.183	-22.37	-10.23	110.82	32.7	18258	0
2024-10-13 9:47:24:323	HC-06(00:0C:BF:0B:72:49)	0.236	-0.481	1.156	0.000	0.244	-0.183	-22.37	-10.23	110.83	32.8	18258	0
2024-10-13 9:47:24:324	HC-06(00:0C:BF:0B:72:49)	0.235	-0.485	1.152	0.000	0.122	-0.183	-22.37	-10.23	110.83	32.7	18258	0
2024-10-13 9:47:24:324	HC-06(00:0C:BF:0B:72:49)	0.231	-0.484	1.151	0.000	0.122	-0.183	-22.38	-10.23	110.84	32.6	18258	0
2024-10-13 9:47:24:325	HC-06(00:0C:BF:0B:72:49)	0.231	-0.483	1.151	0.061	0.061	-0.244	-22.38	-10.24	110.84	32.7	18258	0
2024-10-13 9:47:24:326	HC-06(00:0C:BF:0B:72:49)	0.234	-0.485	1.148	0.000	0.000	-0.183	-22.38	-10.24	110.84	32.6	18258	0
2024-10-13 9:47:24:327	HC-06(00:0C:BF:0B:72:49)	0.235	-0.484	1.150	0.000	0.061	-0.183	-22.38	-10.24	110.84	32.6	18258	0
2024-10-13 9:47:24:328	HC-06(00:0C:BF:0B:72:49)	0.238	-0.483	1.154	0.000	0.000	-0.183	-22.38	-10.24	110.85	32.7	18258	0
2024-10-13 9:47:24:329	HC-06(00:0C:BF:0B:72:49)	0.235	-0.481	1.155	0.000	0.000	-0.183	-22.38	-10.25	110.85	32.7	18258	0
2024-10-13 9:47:24:329	HC-06(00:0C:BF:0B:72:49)	0.235	-0.479	1.156	-0.061	0.061	-0.122	-22.39	-10.25	110.85	32.6	18258	0
2024-10-13 9:47:24:353	HC-06(00:0C:BF:0B:72:49)	0.236	-0.479	1.156	0.000	0.061	-0.122	-22.39	-10.26	110.85	32.8	18258	0
2024-10-13 9:47:24:354	HC-06(00:0C:BF:0B:72:49)	0.234	-0.480	1.154	0.000	0.061	-0.122	-22.39	-10.26	110.86	32.7	18258	0
2024-10-13 9:47:24:367	HC-06(00:0C:BF:0B:72:49)	0.233	-0.480	1.155	0.000	0.061	-0.122	-22.39	-10.26	110.86	32.6	18258	0
2024-10-13 9:47:24:371	HC-06(00:0C:BF:0B:72:49)	0.232	-0.476	1.156	0.000	0.000	-0.183	-22.40	-10.26	110.86	32.6	18258	0
2024-10-13 9:47:24:387	HC-06(00:0C:BF:0B:72:49)	0.233	-0.478	1.155	0.000	0.061	-0.122	-22.40	-10.26	110.87	32.6	18258	0
2024-10-13 9:47:24:389	HC-06(00:0C:BF:0B:72:49)	0.235	-0.483	1.152	0.061	0.061	-0.122	-22.40	-10.27	110.87	32.7	18258	0
2024-10-13 9:47:24:406	HC-06(00:0C:BF:0B:72:49)	0.235	-0.483	1.150	0.000	0.000	-0.244	-22.40	-10.27	110.87	32.6	18258	0
2024-10-13 9:47:24:410	HC-06(00:0C:BF:0B:72:49)	0.235	-0.483	1.150	0.000	0.000	-0.183	-22.40	-10.27	110.87	32.7	18258	0
2024-10-13 9:47:24:425	HC-06(00:0C:BF:0B:72:49)	0.233	-0.482	1.154	0.000	0.061	-0.122	-22.40	-10.27	110.88	32.7	18258	0
2024-10-13 9:47:24:430	HC-06(00:0C:BF:0B:72:49)	0.232	-0.483	1.158	0.000	0.000	-0.122	-22.40	-10.27	110.88	32.7	18258	0
2024-10-13 9:47:24:445	HC-06(00:0C:BF:0B:72:49)	0.232	-0.486	1.157	-0.061	0.061	-0.183	-22.40	-10.28	110.89	32.7	18258	0
2024-10-13 9:47:24:447	HC-06(00:0C:BF:0B:72:49)	0.231	-0.488	1.158	0.000	0.122	-0.183	-22.41	-10.28	110.89	32.7	18258	0
2024-10-13 9:47:24:468	HC-06(00:0C:BF:0B:72:49)	0.233	-0.484	1.161	0.000	0.122	-0.183	-22.41	-10.28	110.89	32.7	18258	0
2024-10-13 9:47:24:471	HC-06(00:0C:BF:0B:72:49)	0.235	-0.482	1.159	0.000	0.183	-0.122	-22.41	-10.28	110.89	32.7	18258	0
2024-10-13 9:47:24:484	HC-06(00:0C:BF:0B:72:49)	0.235	-0.482	1.157	0.000	0.061	-0.122	-22.41	-10.28	110.89	32.6	18258	0
2024-10-13 9:47:24:487	HC-06(00:0C:BF:0B:72:49)	0.237	-0.482	1.155	0.000	0.000	-0.183	-22.41	-10.28	110.90	32.5	18258	0
2024-10-13 9:47:24:507	HC-06(00:0C:BF:0B:72:49)	0.236	-0.482	1.155	0.000	0.061	-0.183	-22.41	-10.29	110.90	32.6	18258	0
2024-10-13 9:47:24:512	HC-06(00:0C:BF:0B:72:49)	0.236	-0.479	1.152	0.000	0.000	-0.183	-22.41	-10.29	110.90	32.7	18258	0
2024-10-13 9:47:24:529	HC-06(00:0C:BF:0B:72:49)	0.236	-0.477	1.148	0.000	0.000	-0.122	-22.41	-10.29	110.90	32.6	18258	0
2024-10-13 9:47:24:531	HC-06(00:0C:BF:0B:72:49)	0.236	-0.479	1.147	0.000	0.000	-0.122	-22.41	-10.29	110.91	32.7	18258	0
2024-10-13 9:47:24:547	HC-06(00:0C:BF:0B:72:49)	0.232	-0.482	1.145	-0.122	0.000	-0.122	-22.42	-10.30	110.91	32.7	18258	0
2024-10-13 9:47:24:551	HC-06(00:0C:BF:0B:72:49)	0.230	-0.482	1.145	-0.122	0.000	-0.122	-22.42	-10.30	110.91	32.7	18258	0
2024-10-13 9:47:24:567	HC-06(00:0C:BF:0B:72:49)	0.228	-0.481	1.145	-0.061	0.061	-0.122	-22.42	-10.30	110.91	32.8	18258	0
2024-10-13 9:47:24:568	HC-06(00:0C:BF:0B:72:49)	0.230	-0.482	1.148	-0.122	0.000	-0.122	-22.42	-10.31	110.92	32.6	18258	0
2024-10-13 9:47:24:585	HC-06(00:0C:BF:0B:72:49)	0.237	-0.483	1.149	-0.061	0.061	-0.183	-22.42	-10.31	110.92	32.6	18258	0
2024-10-13 9:47:24:586	HC-06(00:0C:BF:0B:72:49)	0.240	-0.483	1.154	-0.122	0.061	-0.122	-22.43	-10.31	110.92	32.7	18258	0
2024-10-13 9:47:24:607	HC-06(00:0C:BF:0B:72:49)	0.242	-0.481	1.157	-0.061	0.183	-0.061	-22.43	-10.31	110.92	32.7	18258	0
2024-10-13 9:47:24:612	HC-06(00:0C:BF:0B:72:49)	0.243	-0.479	1.160	-0.061	0.183	-0.183	-22.43	-10.31	110.93	32.9	18258	0
2024-10-13 9:47:24:624	HC-06(00:0C:BF:0B:72:49)	0.238	-0.478	1.162	-0.061	0.000	-0.183	-22.43	-10.31	110.93	32.7	18258	0
2024-10-13 9:47:24:627	HC-06(00:0C:BF:0B:72:49)	0.236	-0.477	1.164	0.000	0.000	-0.183	-22.43	-10.32	110.93	32.6	18258	0
2024-10-13 9:47:24:646	HC-06(00:0C:BF:0B:72:49)	0.236	-0.478	1.164	0.000	0.000	-0.122	-22.43	-10.32	110.93	32.6	18258	0
2024-10-13 9:47:24:651	HC-06(00:0C:BF:0B:72:49)	0.233	-0.479	1.160	0.000	-0.061	-0.122	-22.43	-10.32	110.93	32.7	18258	0
