时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2023-11-3 14:17:1:514	WT901BLE67(34EC198DD516)	0.003	0.007	1.005	0.305	-0.366	17.700	-0.49	-0.64	-8.78	-32.925	39.775	2.325	-0.99704	0.00455	0.00531	0.07581	29.1	10055.1.2	50
2023-11-3 14:17:1:514	WT901BLE67(34EC198DD516)	0.003	0.007	1.005	0.305	-0.366	17.700	-0.49	-0.64	-8.79	-32.925	39.775	2.325	-0.99704	0.00455	0.00531	0.07581	29.1	10055.1.2	50
2023-11-3 14:17:1:514	WT901BLE67(34EC198DD516)	0.003	0.007	1.005	0.305	-0.366	17.700	-0.49	-0.64	-8.79	-32.925	39.775	2.325	-0.99704	0.00455	0.00531	0.07581	29.1	10055.1.2	50
2023-11-3 14:17:1:514	WT901BLE67(34EC198DD516)	0.015	0.007	1.005	0.305	-0.366	17.700	-0.48	-0.64	-8.79	-32.925	39.775	2.325	-0.99704	0.00455	0.00531	0.07581	29.1	10055.1.2	50
2023-11-3 14:17:1:514	WT901BLE67(34EC198DD516)	0.015	-0.009	0.998	0.122	0.000	17.090	-0.48	-0.64	-8.81	-32.925	39.775	2.325	-0.99704	0.00455	0.00531	0.07581	29.1	10055.1.2	50
2023-11-3 14:17:1:514	WT901BLE67(34EC198DD516)	0.015	-0.009	0.998	0.122	0.000	17.090	-0.48	-0.64	-8.81	-32.925	39.775	2.325	-0.99704	0.00455	0.00531	0.07581	29.1	10055.1.2	50
2023-11-3 14:17:1:515	WT901BLE67(34EC198DD516)	0.029	-0.009	0.998	0.122	0.000	17.090	-0.48	-0.64	-8.82	-32.925	39.775	2.325	-0.99704	0.00455	0.00531	0.07581	29.1	10055.1.2	50
2023-11-3 14:17:1:515	WT901BLE67(34EC198DD516)	0.029	-0.009	1.000	0.122	0.061	16.602	-0.48	-0.64	-8.82	-32.925	39.775	2.325	-0.99704	0.00455	0.00531	0.07581	29.1	10055.1.2	50
2023-11-3 14:17:1:573	WT901BLE67(34EC198DD516)	0.029	-0.009	1.000	0.122	0.061	16.602	-0.48	-0.64	-8.83	-32.925	39.775	2.325	-0.99695	0.00467	0.00528	0.07697	29.1	10055.1.2	50
2023-11-3 14:17:1:573	WT901BLE67(34EC198DD516)	0.029	-0.009	1.000	0.122	0.061	16.602	-0.48	-0.64	-8.84	-32.925	39.775	2.325	-0.99695	0.00467	0.00528	0.07697	29.1	10055.1.2	50
2023-11-3 14:17:1:574	WT901BLE67(34EC198DD516)	0.007	-0.009	1.000	0.122	0.061	16.602	-0.48	-0.64	-8.85	-32.925	39.775	2.325	-0.99695	0.00467	0.00528	0.07697	29.1	10055.1.2	50
2023-11-3 14:17:1:574	WT901BLE67(34EC198DD516)	0.007	-0.002	1.000	0.061	0.061	18.127	-0.48	-0.64	-8.85	-32.925	39.775	2.325	-0.99695	0.00467	0.00528	0.07697	29.1	10055.1.2	50
2023-11-3 14:17:1:574	WT901BLE67(34EC198DD516)	0.007	-0.002	1.000	0.061	0.061	18.127	-0.49	-0.64	-8.85	-32.925	39.775	2.325	-0.99695	0.00467	0.00528	0.07697	29.1	10055.1.2	50
2023-11-3 14:17:1:574	WT901BLE67(34EC198DD516)	0.007	-0.002	1.000	0.061	0.061	18.127	-0.49	-0.64	-8.85	-32.925	39.775	2.325	-0.99695	0.00467	0.00528	0.07697	29.1	10055.1.2	50
2023-11-3 14:17:1:574	WT901BLE67(34EC198DD516)	0.005	-0.002	1.000	0.061	0.061	18.127	-0.49	-0.64	-8.85	-32.925	39.775	2.325	-0.99695	0.00467	0.00528	0.07697	29.1	10055.1.2	50
2023-11-3 14:17:1:574	WT901BLE67(34EC198DD516)	0.005	-0.006	1.000	0.000	0.366	17.090	-0.49	-0.64	-8.86	-32.925	39.775	2.325	-0.99695	0.00467	0.00528	0.07697	29.1	10055.1.2	50
