时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 10:1:13:601	HC-06(556C659059FE)	0.059	0.068	1.007	0.427	-2.808	1.404	2.87	-5.14	115.07	28.6	18258	100
2024-10-13 10:1:13:601	HC-06(556C659059FE)	0.055	0.068	1.002	-0.977	-1.404	0.793	2.86	-5.15	115.07	28.6	18258	100
2024-10-13 10:1:13:602	HC-06(556C659059FE)	0.049	0.066	0.996	-2.319	-0.244	0.427	2.84	-5.15	115.08	28.6	18258	100
2024-10-13 10:1:13:628	HC-06(556C659059FE)	0.042	0.063	0.991	-2.563	0.366	0.427	2.82	-5.14	115.08	28.5	18258	100
2024-10-13 10:1:13:629	HC-06(556C659059FE)	0.040	0.065	0.987	-2.014	0.000	0.732	2.80	-5.13	115.09	28.5	18258	100
2024-10-13 10:1:13:633	HC-06(556C659059FE)	0.041	0.063	0.980	-0.732	-1.160	1.465	2.79	-5.13	115.10	28.6	18258	100
2024-10-13 10:1:13:658	HC-06(556C659059FE)	0.039	0.067	0.979	1.099	-2.686	1.953	2.79	-5.14	115.12	28.6	18258	100
2024-10-13 10:1:13:659	HC-06(556C659059FE)	0.035	0.069	0.980	2.319	-3.723	1.892	2.81	-5.16	115.14	28.5	18258	100
2024-10-13 10:1:13:660	HC-06(556C659059FE)	0.038	0.068	0.986	3.357	-4.639	1.953	2.85	-5.20	115.16	28.6	18258	100
2024-10-13 10:1:13:689	HC-06(556C659059FE)	0.046	0.076	0.993	3.845	-5.127	1.831	2.88	-5.23	115.18	28.6	18258	100
2024-10-13 10:1:13:690	HC-06(556C659059FE)	0.045	0.084	1.004	3.113	-4.150	1.160	2.92	-5.27	115.19	28.6	18258	100
2024-10-13 10:1:13:717	HC-06(556C659059FE)	0.045	0.091	1.008	1.587	-2.014	0.549	2.94	-5.28	115.19	28.6	18258	100
2024-10-13 10:1:13:718	HC-06(556C659059FE)	0.049	0.091	1.013	1.160	-0.610	0.366	2.96	-5.27	115.20	28.5	18258	100
2024-10-13 10:1:13:738	HC-06(556C659059FE)	0.051	0.099	1.003	1.343	0.427	0.305	2.98	-5.26	115.20	28.6	18258	100
2024-10-13 10:1:13:738	HC-06(556C659059FE)	0.056	0.099	0.989	1.648	0.244	0.183	3.00	-5.24	115.20	28.5	18258	100
2024-10-13 10:1:13:759	HC-06(556C659059FE)	0.059	0.100	0.979	2.441	-0.854	-0.183	3.03	-5.23	115.20	28.6	18258	100
2024-10-13 10:1:13:760	HC-06(556C659059FE)	0.065	0.095	0.979	3.174	-2.075	-0.549	3.07	-5.23	115.20	28.6	18258	100
2024-10-13 10:1:13:760	HC-06(556C659059FE)	0.080	0.093	0.983	3.113	-2.930	-0.549	3.11	-5.25	115.19	28.4	18258	100
2024-10-13 10:1:13:781	HC-06(556C659059FE)	0.086	0.093	0.988	2.991	-2.502	-0.610	3.15	-5.26	115.19	28.6	18258	100
2024-10-13 10:1:13:781	HC-06(556C659059FE)	0.084	0.092	0.986	2.075	-1.282	-0.854	3.19	-5.27	115.18	28.6	18258	100
2024-10-13 10:1:13:782	HC-06(556C659059FE)	0.078	0.087	0.983	1.160	-0.366	-1.343	3.21	-5.26	115.16	28.6	18258	100
2024-10-13 10:1:13:813	HC-06(556C659059FE)	0.070	0.081	0.978	0.488	0.000	-1.709	3.23	-5.25	115.15	28.6	18258	100
2024-10-13 10:1:13:813	HC-06(556C659059FE)	0.065	0.073	0.977	0.305	-0.122	-1.709	3.25	-5.24	115.13	28.6	18258	100
2024-10-13 10:1:13:813	HC-06(556C659059FE)	0.066	0.065	0.978	0.366	-0.732	-1.587	3.26	-5.23	115.11	28.6	18258	100
2024-10-13 10:1:13:848	HC-06(556C659059FE)	0.069	0.060	0.985	0.366	-1.343	-1.526	3.27	-5.24	115.10	28.7	18258	100
2024-10-13 10:1:13:849	HC-06(556C659059FE)	0.071	0.053	0.991	0.977	-1.526	-1.221	3.28	-5.24	115.09	28.6	18258	100
2024-10-13 10:1:13:849	HC-06(556C659059FE)	0.082	0.045	0.987	2.380	-2.686	-0.305	3.31	-5.26	115.08	28.6	18258	100
2024-10-13 10:1:13:905	HC-06(556C659059FE)	0.101	0.051	0.982	4.456	-5.554	0.305	3.36	-5.30	115.08	28.6	18258	100
2024-10-13 10:1:13:905	HC-06(556C659059FE)	0.136	0.059	0.991	5.676	-8.972	1.282	3.42	-5.37	115.09	28.6	18258	100
2024-10-13 10:1:13:906	HC-06(556C659059FE)	0.152	0.065	1.007	6.409	-10.254	1.892	3.48	-5.46	115.10	28.6	18258	100
2024-10-13 10:1:13:933	HC-06(556C659059FE)	0.164	0.073	1.006	6.653	-9.766	1.770	3.55	-5.55	115.11	28.6	18258	100
2024-10-13 10:1:13:933	HC-06(556C659059FE)	0.168	0.066	0.993	5.554	-11.047	1.343	3.61	-5.66	115.12	28.6	18258	100
2024-10-13 10:1:13:934	HC-06(556C659059FE)	0.141	0.043	0.972	3.540	-11.597	0.244	3.65	-5.77	115.12	28.5	18258	100
2024-10-13 10:1:13:941	HC-06(556C659059FE)	0.105	0.000	0.963	-0.305	-11.292	-1.343	3.66	-5.89	115.10	28.6	18258	100
2024-10-13 10:1:13:942	HC-06(556C659059FE)	0.076	-0.051	0.971	-3.967	-11.719	-1.648	3.64	-6.00	115.08	28.4	18258	100
2024-10-13 10:1:13:943	HC-06(556C659059FE)	0.033	-0.104	0.981	-7.751	-10.437	-0.122	3.56	-6.11	115.07	28.7	18258	100
2024-10-13 10:1:13:970	HC-06(556C659059FE)	-0.004	-0.145	0.995	-9.521	-8.179	2.930	3.46	-6.19	115.09	28.5	18258	100
2024-10-13 10:1:13:971	HC-06(556C659059FE)	-0.035	-0.166	1.005	-8.789	-7.385	7.080	3.34	-6.26	115.14	28.6	18258	100
2024-10-13 10:1:13:971	HC-06(556C659059FE)	-0.047	-0.158	1.022	-5.310	-8.789	11.353	3.25	-6.34	115.24	28.6	18258	100
2024-10-13 10:1:14:46	HC-06(556C659059FE)	-0.053	-0.134	1.045	-1.953	-10.803	14.343	3.18	-6.44	115.38	28.6	18258	100
2024-10-13 10:1:14:46	HC-06(556C659059FE)	-0.052	-0.097	1.066	0.244	-11.047	15.930	3.13	-6.54	115.53	28.6	18258	100
2024-10-13 10:1:14:47	HC-06(556C659059FE)	-0.041	-0.055	1.082	1.038	-9.216	16.174	3.09	-6.62	115.69	28.6	18258	100
2024-10-13 10:1:14:47	HC-06(556C659059FE)	-0.022	0.000	1.101	0.183	-5.188	15.137	3.04	-6.66	115.85	28.6	18258	100
2024-10-13 10:1:14:48	HC-06(556C659059FE)	0.001	0.050	1.101	-2.197	-0.549	11.597	2.99	-6.66	115.97	28.6	18258	100
2024-10-13 10:1:14:48	HC-06(556C659059FE)	0.018	0.086	1.083	-3.601	4.333	7.080	2.92	-6.60	116.06	28.6	18258	100
2024-10-13 10:1:14:103	HC-06(556C659059FE)	0.045	0.111	1.050	-5.859	8.423	1.099	2.85	-6.49	116.09	28.6	18258	100
2024-10-13 10:1:14:104	HC-06(556C659059FE)	0.065	0.115	1.008	-8.972	11.902	-5.676	2.75	-6.35	116.06	28.6	18258	100
2024-10-13 10:1:14:105	HC-06(556C659059FE)	0.071	0.104	0.971	-10.498	14.526	-11.414	2.65	-6.18	115.96	28.6	18258	100
2024-10-13 10:1:14:107	HC-06(556C659059FE)	0.069	0.072	0.931	-11.597	15.686	-16.785	2.54	-5.99	115.81	28.6	18258	100
2024-10-13 10:1:14:107	HC-06(556C659059FE)	0.059	0.027	0.888	-11.719	15.015	-20.386	2.44	-5.81	115.63	28.6	18258	100
