时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	温度(°C)	版本号()	电量(%)
2024-10-13 9:50:50:688	HC-06(00:0C:BF:0B:72:49)	0.222	-0.524	1.148	-0.671	1.526	3.296	-24.12	-8.71	79.67	35.7	18258	0
2024-10-13 9:50:50:690	HC-06(00:0C:BF:0B:72:49)	0.224	-0.519	1.147	-1.404	0.305	3.113	-24.14	-8.70	79.70	35.7	18258	0
2024-10-13 9:50:50:690	HC-06(00:0C:BF:0B:72:49)	0.227	-0.515	1.146	-2.014	-1.465	3.296	-24.16	-8.71	79.73	35.6	18258	0
2024-10-13 9:50:50:692	HC-06(00:0C:BF:0B:72:49)	0.230	-0.519	1.142	-2.319	-2.869	3.662	-24.20	-8.73	79.78	35.8	18258	0
2024-10-13 9:50:50:693	HC-06(00:0C:BF:0B:72:49)	0.238	-0.525	1.136	-1.892	-3.967	3.784	-24.22	-8.76	79.83	35.8	18258	0
2024-10-13 9:50:50:693	HC-06(00:0C:BF:0B:72:49)	0.245	-0.528	1.128	-0.549	-3.479	3.418	-24.24	-8.79	79.87	35.7	18258	0
2024-10-13 9:50:50:695	HC-06(00:0C:BF:0B:72:49)	0.235	-0.528	1.127	0.671	-1.160	2.869	-24.25	-8.81	79.91	35.7	18258	0
2024-10-13 9:50:50:697	HC-06(00:0C:BF:0B:72:49)	0.215	-0.521	1.131	1.465	2.441	2.258	-24.24	-8.79	79.92	35.9	18258	0
2024-10-13 9:50:50:713	HC-06(00:0C:BF:0B:72:49)	0.197	-0.512	1.135	1.282	4.944	1.282	-24.22	-8.76	79.92	35.7	18258	0
2024-10-13 9:50:50:714	HC-06(00:0C:BF:0B:72:49)	0.177	-0.498	1.146	0.549	5.859	1.099	-24.22	-8.71	79.90	35.7	18258	0
2024-10-13 9:50:50:724	HC-06(00:0C:BF:0B:72:49)	0.159	-0.484	1.153	-0.793	4.700	2.075	-24.22	-8.66	79.90	35.7	18258	0
2024-10-13 9:50:50:727	HC-06(00:0C:BF:0B:72:49)	0.155	-0.476	1.158	-2.380	1.770	3.784	-24.25	-8.64	79.91	35.7	18258	0
2024-10-13 9:50:50:748	HC-06(00:0C:BF:0B:72:49)	0.154	-0.475	1.160	-3.784	-1.282	6.165	-24.29	-8.62	79.97	35.7	18258	0
2024-10-13 9:50:50:752	HC-06(00:0C:BF:0B:72:49)	0.157	-0.483	1.155	-4.395	-3.418	8.545	-24.34	-8.62	80.06	35.8	18258	0
2024-10-13 9:50:50:767	HC-06(00:0C:BF:0B:72:49)	0.158	-0.485	1.152	-4.211	-4.578	10.254	-24.40	-8.62	80.16	35.9	18258	0
2024-10-13 9:50:50:769	HC-06(00:0C:BF:0B:72:49)	0.155	-0.484	1.151	-3.479	-4.761	11.475	-24.44	-8.62	80.29	35.9	18258	0
